Name,Address,Phone,Speciality,Price_rate,Website,Total_Reviews,Reviews
Barnehurst Kebab,96 Barnehurst Road Barnehurst DA7 6HG,01322 333176,Burgers,£,no_website,4 reviews,"This kebab shop is easily the best in the region. I go here as often as I can without compromising my waist size. All the meat is prepared fresh daily and with their own secret recipe I'm told. The lamb doner is home made by the gents who work there rather than a factory made cash and carry version.  Staff are friendly and enjoy a good chat while they wait for your meat to cook on the grill.  ||| Prices are standard for the area and portions are generous. You can usually tell how good the food is by the amount of people queuing inside! Don't forget to give them a call to place your order before you go there - you might be waiting a while.  ||| Tip: if you're going for the lamb shish - go medium cooked. It's amazing! ||| An excellent takeaway kebab shop, and one of the best in the area. This isn't authentic turkish food, but a classic takeaway lamb donner or chicken shish kebab served in a polystyrene box and wrapped in white paper.  ||| The portions are massive, and always freshly prepared. At most kebab shops, I'd order a large kebab and chips, but at this place, even a small kebab alone is enough. If you do feel like chips, they're fried fresh to order and served in paper like a proper fish and chip shop.  ||| There is some limited seating, but I couldn't imagine actually eating there, as you'd probably end up sharing the table with people waiting for their takeaway orders to cook. It's a shame they don't do delivery, but you can call ahead to order and then just go in to quickly to collect. ||| Barnehurst Kebab is quite average with not much making it stand out from other take aways in the area. Prices are very reasonable and it doesn't take long from entry to getting your food and leaving. There is a table to wait and there are normally papers to browse through which gives you something to do. ||| The shop is a popular stop off for people making their way home from Bexleyheath and I have seen the place get quite rowdy or full of drunken chav characters after pub kicking out time which can be quite unnerving.  ||| Parking is available right outside the shop which allows for a quick visit. ||| This is IMO, the BEST kebab takeaway (also sit in if you wish) in barnehurst area. The portions are HUGH, the doner kebab is fresh daily, the meat is not greasy or salty as with other kebab shops, it taste good on day & even better the next day!. The mixed kebab shish etc is very taste and grilled to perfection. The chips tastes as good as a chip shops!!, HIGHLY RECOMMENDED."
Oriental Chef,8 Midfield Parade Mayplace Road East Bexleyheath DA7 6NB,01322 555500,Takeaway & Fast Food,£,no_website,1 review,"This is a takeaway only. I love the food, if you love quality curries (beef/chicken/pork) it comes with plenty of beef/chicken/pork) with vegetables & mushrooms, the chow main is fantastic (not salty as with other takeaways), the pancake rolls, prawn crackers, chips etc is fantastic, they taste as if they were done fresh on the day. I always order from them, never had an issue at all."
Fish Etc,10 Albert Road Belvedere DA17 5LJ 1 free 1.5L Bottle of Drink,01322 441531,Fish & Chips,£,no_website,2 reviews,"Quality food! I Recommend them to anyone who loves fish and chips! I buy from them most weekends, that's why I'm 32 stone! ||| Fish Etc is very popular with the locals in Belvedere village. It offers good quality fish and chips as well as pies and sausages at a reasonable price. The portions are quite large making it real value for money and a good option if you fancy take away food. I have always finished my meal feeling full which is more than can be said for most big name fast food chains.  ||| It can get busy on Friday and Saturday nights and you might have to queue for a few minutes to be served but it's not really much of an inconvenience. Parking is available a few yards away in the street meaning that you can ensure your visit is quick and easy."
Korede's Africoal Suya Spot,85 Brook Street Erith DA8 1JJ,01322 335556,African,no_pricerate,koredesafricoal.co.uk,no_reviews,No Reviews
Akash Tandoori,220 Broadway Bexleyheath DA6 7AU,020 8304 5314,Indian Pakistani,no_pricerate,no_website,1 review,"This is one of the best places to purchase a good tikka masala that has a decent and strong taste which is accompanied by large succulent pieces of chicken covered in their thick and creamy masala sauce. The restaurant is a low lighted long room that is empty most nights but somehow I think more people might ruin the mood with the family. You are accompanied by great yet subtle Indian music to keep the mood alive. The service is great, their attitudes are amazing. So polite and like to check up on you. One downfall would be the prices. Little bit over priced but still the best curry you will find in bexleyheath."
Chilli Indian Takeaway,19 Crayford High Street Dartford DA1 4HH,01322 316123,Indian,££,chilli-indian.co.uk,1 review,Here you will find the friendliest staff and the most delicious indian takeaway in the area. ||| We live in Dartford yet drive to Crayford so that we can get our meals from here. ||| They do deliver for free within 4 miles. ||| Be warned they only take cash! but the qaulity makes up for that.
Carved,146 Broadway Bexleyheath DA6 7DW,04420 8303 3898,Delis Sandwiches,£,no_website,2 reviews,"Wow OMG what a great salt beef sandwich. The guys behind the counter and friendly and seem to enjoy there work. Almost a year in boys keep up the good work. ||| Very disappointed we specifically stated that we did not have much time and the server said it would be up to 10 minutes; it took much longer, all reviews say to have the Reuben sandwich which the server said had been discontinued because it was to expensive to maintain; food was not that great we had to take it to go as it took so long to make"
Bubble & Squeak Cafe,138 Crayford Road Crayford Dartford DA1 4ES,01322 524877,Cafes,£,no_website,1 review,"If you are in crayford and fancy a good wholesome food or a quick breakfast you cannot go wrong with Bubble's, the service is quick, the food is good and in a perfect location between Crayford Tower Retail centre & Sainsbury's. Very good value for money Highly Recommended."
Broadway Traditional Fish & Chips,307A Broadway Bexley DA6 8DT,020 8298 7272,Fish & Chips,£,no_website,3 reviews,"Personally recommended and conveniently around the corner from me, I ordered grilled cod with rice and salad. The cod was foil wrapped so was still lovely and hot when I got home, but on opening the sealed package the aroma that hit me was literally mouth watering. The cod was cooked beautifully (melt in the mouth kind of beautiful) and was accompanied by tomatoes, onions and a little chilli sauce. What a healthy and unexpected tasty delight for a wheat intolerant person, to be able to venture in to a chip shop and have a truly wonderful (and healthy!) meal! ||| The owner is charming, his staff efficient and now I know that he fries his chips in separate oil to the fish (the batter contains wheat) AND changes the oil every day, I'll be popping in for another treat very soon - hot chips with salt and vinegar! Heaven! I may also order a chicken shish (minus the pitta) to go with it.... ||| Highly recommended! A* ||| Ruined me for any other FOREVER. Chips - hot and phenomenal. Fish - thin crispy batter. HUGE fillets of freshly caught cod. The BEST curry sauce OMG! Ruined me, and I enjoyed it beyond belief. I wish if takes a picture... :( ||| Hmmm... My craving for naughtiness peaked as I ambled through zone five today. This emotional and all to frequent urge had to be fulfilled but luckily I spotted Broadway Traditional Fish & Chips. ||| GREASE! It had to be mine. On entering this little takeaway eatery I noted that they also sold kebabs and fried chicken. I couldn't help but smile when the man behind the counter pointedly made me aware that they sold 'Fried Chicken.' 'Dude! Come on!' ||| I ordered dirty sausage in batter with chips. Sarah S order a halloumi and salad pitta with chilli sauce. Although my order was really good, her halloumi sandwich kicked my greasy treats ass. I had seriously bad food envy. She let me share. ||| All in all I was surprised by the quality and price of the food. When I am back in Bexleyheath I will be getting myself a halloumi & salad pitta for sure."
The Pie Shop,149 Broadway Bexleyheath DA6 7EZ,020 8304 8287,Breakfast & Brunch Cafes,£,no_website,8 reviews,"The Pie Shop on Bexleyheath Broadway is situated further down the Broadway near Asdas. It is a little shop, but its up the quieter end of the high street and it is a nice place to go have lunch and have a rest from school/work/shopping. The food is always lovely when I go there, and it is very well priced for what you get. Its a great service, its clean and the staff are friendly. Its Pie & Mash is SUPERB.. REALLY GOOD, but it also does fried food (Breakfast) as well, this is first class, HIGHLY RECOMMENDED. ||| Luckily my friend knew where to take me during my solo trip to London as I was severely unprepared for this. I kept hearing about this traditional pie place located on a lower level of the Covent Garden Market and apparently you gotta have a pie when visiting. ||| I decided to go with the chicken and mushroom pie since I couldn't man up enough to try the steak and kidney pie. Only organ meat I will consider is foie gras otherwise please keep all the kidney, brain, heart and any other Jeffrey Dahmer bag items away from me please. Overall, the pie was pretty good! flaky shell pastry and chunks of chicken inside. What else can you ask for in a savory pie. ||| Also got a beer... because every meal in London has to have a beer on the side. ||| A great english cafe with a fantastic range of breafasts and lunches. ||| The cafe is family friendly and given how busy this place is from very early morning through to late afternoon the staff are both friendly and helpful ||| We went here and although hubby enjoyed his pie etc I thought it was a bit rank. I have had better although it was very cheap. I would give it another go to see if a fair better next time. ||| This is a traditional english cafe, they have tea, coffee and all the usual kind of soft drinks as well as traditional british food such as pie, mash, chips, sausages, fry ups and liquor (a creamy parsley gravy-no alcohol). This place is child and family friendly and the staff are quite relaxed in their work ethic. ||| The Pie Shop on Bexleyheath Broadway is situated further down the Broadway near Asdas. It is a little shop, but its up the quieter end of the highstreet and it is a nice place to go have lunch and have a rest from school/work/shopping. The food is always lovely when I go there, and it is very well priced for what you get. Its a great service and the staff are very lovely. Its more for fried food, so if you want the healthy option I would choose somewhere else! Best known for its Pie and Mash. ||| The food is great,The tables and cutlery need to be cleaned better and then it would be just fine.They have toilets and also highchairs for babies ||| I can't rate this any higher. A fantastic place to eat. Cheap and tasty. Worth a visit."
Tom Bells,98 The Broadway Bexleyheath DA6 7DE,020 8303 6430,Fish & Chips,£,no_website,3 reviews,"Bexleyheath would not be Bexleyheath without Tom Bell's Fish & Chips. It has been a fixture in the town for years and provides the best lunches in town by a mile. The quality is excellent, chips how they should be, golden, crispy and fluffy on the inside.  ||| They also can't beaten on price. Many of the lunchtime meal deals are under £2, much better value for money than the regular fast food chains around town. Service is quick and you even have the option of staying in and eating at a table. On sunny days it is nice to sit on one of the benches outside near the fountain and peoplewatch. ||| If you're peckish in Bexleyheath then try Tom Bell's. You'll forget that McDonald's even exists. ||| My original review has somehow been removed. So here goes again. ||| Bells fish restaurant  in Bexleyheath does not allow an adult to purchase a child's meal !!!!! ||| Myself, my daughter and my two grandsons went there for a meal. My Daughter wasn't particularly hungry, but they wouldn't allow her to order a child's meal. The manager was rude and unhelpful. ||| I hope this review is not removed. ||| I have enjoyed many meals in this restaurant since I was a child in the 1970's, .However I was to say the least very disappointed when I took my daughter and grandsons in and we were refused a childs meal for my daughter who wasn't hungry enough for a full  meal. Both my grandsons were having a meal and we were all having drinks. I cannot understand the reason for this.  I also found the manager rude and unhelpful and I will not be returning. I will also be advising my friends and family not to go there. ||| Very nice chip shop, chips are thick cut and fluffy in the inside, portion sizes are small for the price, they are placed into trays, which most of the time fall out, the fish, savaloy etc is tasty. Service is quick, seating is available inside, but its always busy as its very popular. Highly Recommended for takeout and sitting outside watching the world go by...."
Zanz,30 Pickford Lane Bexleyheath DA7 4QW,020 8298 0755,Cafes,no_pricerate,no_website,1 review,"Visited this place a couple of times while staying at my Mums in Bexleyheath. Really good value for money, I got the set breakfast both times which includes a coffee or tea. What I really appreciated was the cleanliness of the place, it's nice to eat at a cafe but not leave smelling like a 'greasy spoon'.  ||| A great Cafe with very nice owners and excellent coffee!"
Zizzi,28 Broadway Bexleyheath DA6 7LL,020 3092 8966,Italian Pizza,££,zizzi.co.uk,3 reviews,"A nice (large) place. ||| We were welcomed with a warm greeting big smile and helpful attitude.  ||| Sited close to the window which is what we asked for so we could people watch while enjoying our food. ||| The beer was cold. Nice to find cold beer in the UK. Check out the big and little bottle of Peroni in my photos. Both cold and fresh. ||| I was able to have my pizza made the way I wanted instead of a preset number of toppings and they did that with out a hassle (not always easy to change things in the UK)  just instant service.  ||| The Pizza was hot and good! ||| Because I was staying at the Marriott down the street I have found myself here several times even if it was for a quick pint.  ||| If I am back in the area I am sure I will be found here yet again. ||| We really enjoyed our food here but the service was so atrocious that we probably won't return. It was disappointing to have to wait 15 minutes for a cup of water and almost 20 minutes for our empty plates to be removed. ||| I have eaten at Zizzis a number of times. The food is very nice, the atmosphere is okay, but could do with some background music. ||| Last time we visited we had rustic pizzas which were very tasty. The ice cream was also good, but then it should be for over £4 per scoop!! ||| The price of the drinks was also very inflated.  ||| The premises is intimate and good for Romantic Night out, Pizza is on par with Pizza Express in my opinion. Its also good for a night out with the family, but to be honest it could get expensive!. So Highly Recommended for a meal for two, but for a family with kids no.."
Oriental Chinese Takeaway,40 Pickford Lane Bexleyheath DA7 4QT,020 8303 9122,Takeaway & Fast Food,no_pricerate,no_website,1 review,Always go here to buy my Chinese food! Very nice with a wide variety of food meals to choose from - you can also order individual items as well.
Star Of Spice,13-15 Herbert Road Woolwich London SE18 3TB,020 8316 6672,Indian Pakistani Bangladeshi,££,starofspice.co.uk,3 reviews,"Excellent restaurant. Friendly staff,good food, nice atmosphere. try it & you'll like it ! ||| Have been using there home delivery service for the last five years, and the food is sways on time and very well cooked, give them a try. ||| Been using this restaurant and takeaway for a number of years now. The food is cooked sympathetically and they happily accommodate my requests for less-oil. |||  One of their chefs is definitely the better cook, as the food can be particularly outstanding sometimes, but the rest of time the food remains good. |||  Fast, friendly, reliable and tasty - anything else?"
Burger King,The Mall Bexleyheath Broadway Shopping Centre Town Centre Bexleyheath DA6 7JJ,020 8301 6513,Takeaway & Fast Food,£,burgerking.co.uk,2 reviews,"I love Burger King, Double Whopper with chips..Hmmmmmm LOVELY, the seating area is large, service is quick, nicely lit, good value for money HIGHLY RECOMMENDED. ||| Very slow service.  I am not impressed.  Staff are just putting in their hours and the front counter is dirty. Otherwise it is a nice BK so maybe I got them at a bad time. TIP: You have to ASK for serviettes at the counter."
Cafe Mojito,219 Broadway London DA6 7EJ,020 8298 1100,Spanish Basque,no_pricerate,no_website,4 reviews,"I took my daughters and one of there friends there tonight, the starter we all shared was nachos and they were very soggy like they had been microwave. The mains meals were ok. One of the male waiter had a strong smell of B.O. Finally as we were leaving, the waiter barged past my daughter and the door slammed on her arm leaving her very upset. It's such a shame this restaurant has gone down hill was a nice place to eat in. ||| It's kitsch. It's got Mexican hats and a free tequila shot with the set menu! But that's about it. I like the hats.  ||| Firstly it's not the good tequila. Does that sound super snobby? Like there are some really nice tequilas out there now- where you don't slammer it like a student! (Wahaca even laces there hot chocolate with one) but tequila rose? That milky strawberry milkshake one that is just a gimmick and it's horrid. Like I have bad memories of this because at 18, tequila rose sounds well exotic. It's not and I'm not proud of my 18 year old self for drinking it everytime we went club sushi!  ||| Also sure the set menu sounds super value, I left 75 percent of the meal. Hence the star. It was salty- maybe it was a preserved one? I don't know. I just didn't enjoy my meal.  ||| The cocktails were watered down and they don't do hard shakes. Even though I asked. They had an Oreo milkshake- just add a bit of bourban in. No? ||| My evening started off with a soggy starter and poor service. My main meal was ok but nothing more than that. Unfortunately I won't be recommending this restaurant ;( ||| Enjoyed the cocktails on both occasions that I visited. It's always busy and can be quite noisy, so best to be in a group. Food is fine for the prices charged. An enjoyable night out."
KFC,184 Broadway Bexleyheath DA6 7BT,020 8303 8856,Takeaway & Fast Food Chicken Shop Chicken Wings,£,kfc.co.uk,1 review,"If you want finger licking chicken with chips, you cannot go wrong with a KFC, service is quick, staff are polite, chickens taste fresh and tasty. Its GOOD value for money. ||| The seating area is a good size, its well lit and in a good location. ||| I always park up car and do a takeaway, takes 5 minutes!!! HIGHLY RECOMMENDED."
Bella Italia,28-70 Broadway Bexleyheath DA6 7LL,020 3223 0038,Pizza Italian,no_pricerate,bellaitalia.co.uk,3 reviews,"One night we walked in here and they were out of the Lasagna so we left saying we would be back another evening.  ||| Two days later my wife is looking for her sunglasses.  ||| We went on a search for both her sunglasses and dinner. The glasses were found here (very expensive pair so we were glad they held them) and this time then had the Lasagna and we ate there. ||| Service was excellent food was good and served hot! ||| At the end they give us a free shot at the end of our dinner.  ||| If you are in Bexleyheath this is a good place to eat. ||| Went here after the cinema and when Frankie & Bennie's next door said there was a 15 minute wait. Couldn't bear thought of a drink at the bar with really loud music so went to Bells Italia- best decision ever! Quiet, relaxed atmosphere, seated promptly. Good service and food was served quickly, efficiently and was piping hot. Good value too, the king prawns on my spaghetti were huge! Garlic cloves could have been cut up a bit more but really not much to fault here. Pleasant staff and environment where you can enjoy good food and conversation without competing with the over bearing music. (It's called background music for a reason, caterers!) ||| My family and I are visiting from California . Came to this Resturant for the lunch specials cause it's very close to the Bexleyheath Marriott . Well I'm sorry to say I was very disappointed with the food selection for the lunch special . There were only 4 to choose from for the special that was 5.95 pounds . Then I asked for a coke for myself and the waitress forgot ,after a while of me staring at her she finally brought it to me in a small glass half full. Gave me a weird look every time I asked kindly for something . You are charged for each time you ask for a drink refill.  Just for 1 drink for each of us and 1 refill cost us as much as a meal . The service was slow not sure why cause There were 4 waiters and 2 other people eating ...."
Jhorna Spice,26 Pickford Lane Bexleyheath DA7 4QW,020 8304 9936,Indian,no_pricerate,no_website,2 reviews,"We'll always a joy to eat in here the owners treat you like family every time we go here. The food is so yummy not been many times when we have left anything. It's def a must visit place. ||| Hello nice hot curry on a cold dark winter night in london last night! The owners were really sweet and friendly and I loved the family run vibe of the place. I had pilau rice, chicken dansak (very very hot) and sag aloo as a side!"
Top Quality Fish Bar,31 Pickford Lane Bexleyheath DA7 4QU,020 8301 1982,Fish & Chips,£,no_website,2 reviews,"The best fish And chip shop in this area by far brillant fish And chips the cods massive and always fresh no matter wat time u go theres a lot of other stuff to chose from all of wich is very tasty the staff are very friendly and efficent and the prices are very resonable they really look after there customers and deserve to be as busy as they are keep posted and il take a pic nxt time i go ||| Chips have lots of black bits, I use the barbers nearby and tried their Rock and chips which was my favourite. Having bought the fish and complained that the fish smelt I was told off and given my money back. ||| The staff laughed when I left as I could see them through the window. ||| The kebab shop down the road saved the day."
Beano's Cafe,164 Mayplace Road East Bexleyheath DA7 6EJ,01322 558959,Cafes,£,no_website,1 review,"Very Good cafe, good service, nice simple breakfast at a reasonable price. Ingredients are good quality, nice clean atmosphere in a nice quite area. HIGHLY RECOMMENDED."
Tropical Cafe,115 West Street Erith DA8 1AW,01322 446726,Burgers Cafes,no_pricerate,tropicalcafeerith.co.uk,no_reviews,No Reviews
Pom Pom Fish Bar,7a Alford Road Erith DA8 1PP,01322 442504,Fish & Chips,£,no_website,1 review,"This fish bar serves up fish and chips, kebabs and others. There chips are one of the best I've had, there fish are nice but not the best you can get."
Saj Indian Tandoori,72 West Street Erith DA8 1AF,01322 463659,Takeaway & Fast Food,no_pricerate,no_website,no_reviews,No Reviews
Belmont Balti House,3 Belmont Road Erith DA8 1JY Mr. Abdul Munim is the owner of Belmont Balti House 1 free Get Side Dish Of Your Choice,01322 359191,Indian,no_pricerate,no_website,no_reviews,No Reviews
La Siesta Tapas Bar,176 Broadway Bexleyheath DA6 7BT,020 8303 9426,Spanish Tapas Bars,no_pricerate,no_website,1 review,"My sister and i went here for lunch, i guess we should have known how bad it was going to be when we were the only people in there! ||| To start we had garlic mushrooms and spanish tortilla. Well, i have never quite tasted anything like it before, i love my garlic, but those mushrooms were SO strong i had to have a rest and a drink inbetween each slice, im not sure if the over powering taste was even garlic, it just tasted weird. The spanish tortilla, well, it was a triangle of srambled egg, with 1 new potato stuck in the middle of it. ||| My sister doesn't eat meat, so we then opted for the vegetable paella, Hoping it would be the resturants saviour... unfortunately not! The rice was completely overcooked, and there was a pool of juice at the bottom of the pan. the only flavour you could taste was black pepper. ||| At this point we decided to call over the waiter or manager (not sure who he was) We tried to explain politely our problems, but he didn't apologise, or offer us anything else, He just argued with us. Telling us he has never had complaints before, and tried to then explain to us how to make a paella, which didn't go down to well with my sister and i as we are both very keen cooks. ||| Basically it ended up in a huge row, there was NO sign of any customer service, and as we walked out the waitress even started shouting abuse at us!!! ||| Would i recommend La Siesta??? oh yes, i'd recommend everyone stays as far away as possible from it!!!!"
Pizza Hut Restaurant,"Unit 4 Brunel Way Ashford, Kent",01233 650650,Pizza,no_pricerate,pizzahut.co.uk,1 review,"One word; ""chicken testicles""  ||| I went to this ""Pizza Hut"" place recently. I looked at the menu and was flabbergasted regarding the vast array of authentic Italian pizzas. My waitress who went by the name of Trixie Mattellę. Oh I do have to say that the girl was quite the uckers. However her milkshakes did certainly NOT, bring all the boys to the yard including me as I found them flavorless and overly sweet, as sweet as when I licked the sticky tables smothered with their original recipe barbecue sauce from KFC. ||| 3 stars"
Dominos Pizza,71b Crayford Road Dartford DA1 4AW,01322 220976,Pizza,£,dominos.co.uk,1 review,Take out & deliveries only!  ||| However they are really fast! I usually get a delivery in about 20 minutes during their busy periods. If you go collect you get a discount too.
Pizza Express,163 Broadway Bexleyheath Kent DA6 7ES,020 8303 3040,Pizza Italian,££,pizzaexpress.com/visit-a-resta…,3 reviews,"I love Pizza Express, the pizza (ETNA!!!) is really nice, the service is always spot on. However, this place is smallish & there are alot of teens!! atmosphere can get loudish!. IMO.. Pizza Express is always nice in a romantic setting, the pizza's, pasta's etc are that good, but in this restaurant it will not be romantic, due to size of restaurant & loud teens! ||| Visited with a friend. There really isn't much in Bexleyheath to eat, and I wanted to use my taste card so Pizza Express won. ||| I used to eat here all the time and have fond memories of pizza and a cold glass of wine. The menu has changed since I last ate here (about 3 years ago) and there wasn't really any pizzas that appealed to me. When I ordered I was offered a thick or thin base, which I found quite strange. So I went with the thin. It was huge and they now give you a little pizza cutter which I thinks make it more like Pizza Hut than Pizza Express. The pizza was on the bland side, but could easily feed two. ||| Our server was friendly, and although he went through the motions with us (water, olives etc) he never managed to bring anything no matter how many times we asked. I asked for a glass of water 4 times then asked someone else who brought it straight away. Not the best. ||| Overall, I have no intention of eating in this branch again (unless I'm in Bexleyheath...), but I would be willing to try different locations.  ||| Was an ok price with a Taste Card but I wouldn't pay full prices. ||| I was very impressed by this  beore the new staff and refurbishments. The restaurant was full of suspect Italian ,Kosovan and Polish staff.  I have nothimng against them but when I went to eat there recently after the recent refurbishments their attitude towards me had changed from very friendly to very rude and often trying to extract tips from me.  Before the tips were included in the bill. ||| I find this sort of behaviour unacceptable in this country though it is more common in the Continent where rules and regulations aren't so stringent and the pay not so good.  In this country foreign staff are paid well compared to their countries so should not try to cheat anyone. ||| I prefer the decor before of modern vibrant paintings of food and the wonderful dispaly of garlic, peppers and onions giving it great sense of good food and good cooking with wonderful aromas as the kitchen is open plan.  I feel the bare light bulbs very harsh and primitive and the concentric rings of bulbs on the back wall rather strange.  Light bulbs have never been a feature of pattern or interior design anywhere. ||| If things continue as this I don't see a Pizza Express survivng in Bexleyheath.  I am quite a good cook and i can make a very competent Italian Pizza and so I don't need to eat here  if I don't want to. ||| It is a shame to see such good restaurant going down hill. ||| I've always liked Pizza Express food. It's of the very high stsndard and I was impressed that it had French roots which would explain the excellence in food,  but it has changed hands several times , sometimes Italian ,sometimes Enlgish with Sri Lankan chefs and Bangladeshis. ||| The dough balls are exceptional and only in this restaurant do they serve them and their bruchettas  both the tamato and red oniion and the fungi are excellent to say the least.  My favourite pizza is the Pizza Venezia from that famous watery city Venice.  Their tiramisu is also of a high stndard though a bit pricy and their Italian ice cream is very good.  I also recommend their floater coffee which I am a great fan of as I don't drink alchohol. ||| The decor before was contemporay with vibrant modern art and  now it is tastefully done in contemporarty fresh colurs with local interest of William Morris and famous pilots after the Wright brothers from Bexley.  There is also nice caligraphies of female singers. ||| I have always found the staff very friendly and the Italians are excellent.  I've recently been to IIaly for a holiday  and I found them as friendly as them and the food as ever of very high standard. ||| I would recommend anyone to this very reputable restaurant chain. ||| They had once brought out a recipe book of Pizza Express meals which I now regret not having bought but that would mean I would not go out as often to eat there."
Ocean's Takeaway,166 Mayplace Road East Bexleyheath DA7 6EJ,01322 558929,Takeaway & Fast Food Fish & Chips,£,no_website,1 review,"I was initially impressed by Oceans Takeaway, I've found their customer service has gradually been getting worse with each visit.  ||| The food isn't bad, but I think the owners would much rather run a daytime business. They rarely answer the phone, and when they do they say they're not accepting new orders for the evening, even though they're still open for another 20 minutes.  ||| One evening when they wouldn't answer the phone, I drove to the shop to let them know their phone wasn't working. The owner said he was too busy to answer the phone, although the shop was near empty.  ||| Another time, I walked into the shop, and the owner said he'd deliver the food to my house rather than me waiting for a pick up. I think he was trying to get rid of me!  ||| Their opening days are also random. Apparently they're closed on Sundays, but I've driven past and seen the lights on and door open.  ||| This really isn't the way to run a business... ||| Ocean's Takeaway is the reincarnation of the ""Happy Fryer"" fish and chip takeaway in Barnehurst. A menu came through my door earlier in the week, so I gave them a try and was pleasantly surprised.  ||| They do fish and chips, which was much better than Big Daddys fish and chips near the station. The cod was a generous size, and of good quality in a nice crispy batter and the medium chips were a huge serve and the proper chunky fish shop style. It was nice to find the chips weren't cooked in the same oil as the fish either, as I don't like the taste of fish tainting my chips.   ||| They also have a tandoor oven, and were baking their own naan bread and making tandoori chicken! I think they're missing a good opportunity by not advertising that they have these offerings, as there are a lot of Indian takeaways that don't bake their own naans, yet this place seems like a standard fish and chips takeaway from outside.  ||| I tried the spicy chicken wings too, and found them to be nice and crunchy, which a hint of heat.  ||| They also do kebabs, which weren't bad, but I think the quality of Barnehurst Kebabs round the corner can't be beaten.  ||| I'd definitely recommended Ocean's Takeaway for anything fish and chips related, or the chicken in naan bread."
Omar Khayyam Restaurant,300 Erith Road Bexleyheath DA7 6HJ,01322 340643,Indian,no_pricerate,no_website,no_reviews,No Reviews
Maxin Pizzas,13 Crayford High Street Dartford DA1 4HH,01322 553155,Takeaway & Fast Food,£,no_website,1 review,"A Chicken, Pizza & Ribs  takeaway with seating available inside, the Ribs are very nice & sticky, chicken was also very good, Pizza not so good, They also Deliver. its good if you fancy Chicken & Ribs!!"
Hooked Fish and Grill,137 Colyers Lane Erith DA8 3PB,01322 333521,Fish & Chips Indian Kebab,no_pricerate,hookedfishandgrill.co.uk,no_reviews,No Reviews
Alika Brasserie,190 Bexley Road Northumberland Heath Erith DA8 3HF,01322 336991,Restaurants,no_pricerate,no_website,no_reviews,No Reviews
Chilli,Unit F18 Birch House Fraser Road Erith DA8 1QX,01322 448825,Takeaway & Fast Food,no_pricerate,no_website,no_reviews,No Reviews
Hot Wok,186 West Street Erith DA8 1AN,01322 442285,Takeaway & Fast Food,no_pricerate,no_website,no_reviews,No Reviews
Delicio,Broadway Bexleyheath London DA6 7JN,no_phone,British,no_pricerate,no_website,1 review,This is a Turkish breakfast bar restaurant with nice surroundings.  The food is superior to that of most breakfast bars  but not a Italian or Meditteranean place more Turkish and there is a belly dancer named Chantelle for entertainment at  night.  For a small town like Bexleyheath this will keep the young people occupied without going to London or going to restaurant bars for binge drinking.  The service could be better and the food a bit pricy.  The unisex bathroom is not a good idea.
Manor Fish Bar,9 Manor Road Erith DA8 2AE,01322 341224,Fish & Chips,no_pricerate,no_website,no_reviews,No Reviews
Chartel,70 Castleton Avenue Bexleyheath DA7 6QU,020 8852 8822,Restaurants,no_pricerate,no_website,no_reviews,No Reviews
McDonald's,1 Tower Retail Park Crayford Road Crayford Dartford DA1 4LD,01322 525229,Burgers Takeaway & Fast Food,£,mcdonalds.co.uk,2 reviews,"A very handy place to get a quick meal after shopping around the retail park! McDonald's prices will be same throughout all the stores nationwide and staff are quite pleasant in this restaurant.  ||| The restaurant also has Wifi and very comfy seating indoors and outdoors. The restaurant also has a two lane drive thru as well. ||| This McDonalds is in the Retail Park it has a drive through. Its in a prime location after a day shopping pop in for a takeaway or a sit down, its clean, staff are polite and seating is comfortable. I am not a McDonalds fan (I prefer Burger King), but unfortunately the kids are!!!"
McDonald's,65 Broadway Bexleyheath DA6 7JN,020 8303 5872,Takeaway & Fast Food,£,mcdonalds.co.uk,3 reviews,"Maccie Dee's is Maccie Dee's.  Not much variation.  ||| But wait!  ||| Do you fancy causing chaos amongst the staff?  ||| Do you want to be the hot topic at their next staff meeting? ||| Do you crave to be the reason a new policy has been written? ||| I did - without even trying..... ||| I ordered a burger meal here once, we were driving back to London through this area & fancied a nibble, we weren't starving so thought we'd share a burger - obvious thing would be to have it cut in half, right? Er na.... ||| Well, the look of  horror on the girls face who was serving me when I asked for this to be done! She was way out of her comfort training zone...she told me she'd have to check with her supervisor who told her 'No - they could not cut the burger in half'....... ||| Lame weird excuses were given when I asked 'why not?' including: No knife, they weren't allowed - H&S blah blah... ||| The whole kitchen stopped what they were doing & turned to see who the crazy customer was that asked for the burger to be cut in half... ||| Eventually, a higher up manager was consulted....he actually allowed the cutting of the burger to go ahead. ||| I felt so privileged. ||| My ears burn often, it means they are having training & my request is the hot topic.. ||| Wow. ||| What do you expect. It's a place more kid orientated as it's small. Nowhere to sit and always full of school children using it as a playground. Food is cheap and it is nice just don't eat in if you want peace and quiet. ||| This a typical McDonalds. The seating area is small, service is slow, it is VERY busy & FULL of kids. The burgers are like cardboard, chips are nice though, its cheap, but i prefer Burger King to be honest where a burger tastes of a real burger!"
T Bone Cafe,18 Fraser Road Erith DA8 1QJ,01322 447744,Coffee & Tea Shops Takeaway & Fast Food,no_pricerate,no_website,no_reviews,No Reviews
